,Odds Ratios,Lower CI,Upper CI,P Value
AGE[T.True],1.205648377861639,0.8709336158840901,1.6689997773996301,0.2596914586350244
APRDRG_Severity[T.True],4.5191750554465475,3.2812553009388328,6.224125009695799,2.574094832138493e-20
APRDRG_Risk_Mortality[T.True],1.2678861369119372,0.8915038032599589,1.8031726284231282,0.18655081627039238
Medicaid (compared to: Private insurance),1.2527868898643486,0.8822496327930109,1.7789466077161973,0.20777411410661062
Medicare (compared to: Private insurance),1.0302105970178659,0.7369648428978414,1.4401417983992362,0.8617513091659275
No charge (compared to: Private insurance),0.3738089730125776,0.038407281270733264,3.638194209054731,0.39668209092688234
Other (compared to: Private insurance),1.2414617086176984,0.6825692858122484,2.2579790887161515,0.4785221634510105
Self-pay (compared to: Private insurance),1.2996268643372757,0.7137208220853116,2.3665135361642125,0.39142001064198684
Asian or Pacific Islander (compared to: White),1.5882511518479159,0.937790905332217,2.6898765033902827,0.08524535018346098
Black (compared to: White),1.4848382398292443,1.1179618154889603,1.9721108251760147,0.00633241865714038
Hispanic (compared to: White),1.3521553397999972,0.9320348019528545,1.9616478473967212,0.11201318044675453
Native American (compared to: White),1.3969358990300706,0.34917930219332194,5.5886184941126595,0.6365282305135931
Other (compared to: White),0.6226664152845086,0.27551182991987877,1.4072479749272857,0.2548036117108552
Unknown (compared to: White),0.5931847003593986,0.4014559171268027,0.8764800161840173,0.008745477180997557
Male (compared to: Female),1.7038891067436055,1.363191908459053,2.1297354173421787,2.8402873536617774e-06
Unknown (compared to: Female),0.3697087877099086,0.007065536463378121,19.345252610101124,0.6221552635563562
Rural (compared to: Urban teaching),0.9424619250811217,0.570280861780407,1.5575386441245127,0.8171596656783809
Urban nonteaching (compared to: Urban teaching),0.6323984396172585,0.4817369710477832,0.8301787291942656,0.0009652693240272067
Midwest (compared to: South),1.4211570485040914,1.0757900316604847,1.8773992108808328,0.013351585225283196
Northeast (compared to: South),0.5611272815897436,0.40348839014867954,0.7803541163310118,0.0005950865567776872
West (compared to: South),0.8655838313487969,0.6348098634705528,1.1802516189593164,0.3615462228227332
INCOME_QRTL[T.True],1.0097345075022222,0.804896960613164,1.2667009884893339,0.933260421625152
