,Odds Ratios,Lower CI,Upper CI,P Value
AGE[T.True],1.0026165371247682,0.95860845054957,1.0486449602439432,0.9091556436600454
APRDRG_Severity[T.True],5.246925754668614,4.890775023333729,5.629011709526397,0.0
APRDRG_Risk_Mortality[T.True],2.025035404777536,1.8461271131521528,2.2212817099038755,1.534289547997651e-50
Medicaid (compared to: Private insurance),1.2911323957352236,1.2360571972434096,1.348661588666516,1.5107224823045522e-30
Medicare (compared to: Private insurance),1.1710955321067276,1.1210449483418237,1.223380692584111,1.3689030455793169e-12
No charge (compared to: Private insurance),0.8732891854863593,0.7390206648995243,1.0319522006750854,0.11167740276680622
Other (compared to: Private insurance),1.2565126734999619,1.1704879490506757,1.3488597639527404,2.781025552311852e-10
Self-pay (compared to: Private insurance),1.2983328167028914,1.1993319384790497,1.4055058894415569,1.1074682896394191e-10
Asian or Pacific Islander (compared to: White),1.2268122798276888,1.1494558508150896,1.3093746652981528,7.672461162045069e-10
Black (compared to: White),1.4064579145542369,1.352347406712371,1.4627335073767607,4.199368372502133e-65
Hispanic (compared to: White),1.4286034929714833,1.367128880263567,1.4928423864009503,6.914025665556548e-57
Native American (compared to: White),0.8666677113000162,0.7081683172227933,1.0606418044168227,0.16494046203734003
Other (compared to: White),1.1554220032610598,1.0760789094317558,1.2406153432788427,6.890348502619309e-05
Unknown (compared to: White),0.5988353665178744,0.5757948770896263,0.6227978234283211,1.0401013534367761e-144
Male (compared to: Female),1.2300225014794457,1.1933994524668667,1.267769438823132,4.3452506633491454e-41
Unknown (compared to: Female),1.3034353101986136,1.1047513182473434,1.5378516230855301,0.0016861984269923686
Rural (compared to: Urban teaching),1.1503156404809725,1.0870776223577139,1.217232371930593,1.2094409102680573e-06
Urban nonteaching (compared to: Urban teaching),1.2024800564001965,1.1698067485769206,1.2360659466183108,2.5708672358988276e-39
INCOME_QRTL[T.True],0.8049783462568652,0.7840782790891693,0.8264355169935076,9.185217214466763e-59
